사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2020010100100064,2020년 1월 1일 05시,수요일,서울특별시 강남구 도곡동,사망사고,1,0,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,63세,상해없음,보행자,여,29세,사망
2020010100100090,2020년 1월 1일 07시,수요일,서울특별시 강남구 논현동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,29세,상해없음,승용,남,41세,경상
2020010100100109,2020년 1월 1일 09시,수요일,서울특별시 강남구 역삼동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,남,32세,상해없음,승합,남,48세,경상
2020010100100258,2020년 1월 1일 18시,수요일,서울특별시 강남구 삼성동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,승용,남,44세,상해없음,보행자,남,42세,경상
2020010100100259,2020년 1월 1일 18시,수요일,서울특별시 강남구 역삼동,경상사고,0,0,5,0,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,47세,상해없음,승용,남,34세,경상
2020010100100333,2020년 1월 1일 21시,수요일,서울특별시 강남구 삼성동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,남,34세,상해없음,보행자,남,80세,경상
2020010100100344,2020년 1월 1일 22시,수요일,서울특별시 강남구 삼성동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,50세,상해없음,승합,남,51세,경상
2020010200100017,2020년 1월 2일 03시,목요일,서울특별시 강남구 압구정동,경상사고,0,0,2,0,차대차 - 정면충돌,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,남,33세,상해없음,승용,남,51세,경상
2020010200100111,2020년 1월 2일 09시,목요일,서울특별시 강남구 역삼동,경상사고,0,0,2,0,차대차 - 추돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,85세,상해없음,승합,남,56세,상해없음
2020010200100134,2020년 1월 2일 10시,목요일,서울특별시 강남구 역삼동,중상사고,0,1,0,0,차대사람 - 기타,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,건설기계,남,55세,상해없음,보행자,여,10세,중상
2020010200100161,2020년 1월 2일 11시,목요일,서울특별시 강남구 역삼동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,41세,경상,승용,남,44세,경상
2020010200100220,2020년 1월 2일 13시,목요일,서울특별시 강남구 역삼동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,36세,상해없음,보행자,남,42세,경상
2020010200100315,2020년 1월 2일 16시,목요일,서울특별시 강남구 도곡동,중상사고,0,1,0,0,차대사람 - 기타,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승합,남,67세,기타불명,보행자,여,20세,중상
2020010200100340,2020년 1월 2일 17시,목요일,서울특별시 강남구 역삼동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,63세,상해없음,승용,남,38세,경상
2020010200100380,2020년 1월 2일 18시,목요일,서울특별시 강남구 삼성동,중상사고,0,1,0,1,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,30세,부상신고,승용,남,66세,중상
2020010200100447,2020년 1월 2일 19시,목요일,서울특별시 강남구 대치동,중상사고,0,1,0,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,교차로 - 교차로안,승용,남,67세,상해없음,승용,남,49세,중상
2020010300100002,2020년 1월 3일 00시,금요일,서울특별시 강남구 압구정동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 교량,승용,남,55세,상해없음,승용,남,50세,경상
2020010300100014,2020년 1월 3일 01시,금요일,서울특별시 강남구 청담동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,46세,상해없음,승용,남,65세,경상
2020010300100116,2020년 1월 3일 09시,금요일,서울특별시 강남구 도곡동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,37세,상해없음,승용,남,39세,경상
2020010300100142,2020년 1월 3일 10시,금요일,서울특별시 강남구 도곡동,경상사고,0,0,1,0,차대차 - 기타,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,56세,상해없음,승용,남,60세,경상
2020010300100266,2020년 1월 3일 14시,금요일,서울특별시 강남구 삼성동,중상사고,0,1,2,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,42세,상해없음,승용,남,33세,중상
